product_id,title,category,price,discount_Percentage,rating,stock,warranty_Information,return_Policy
1,Essence Mascara Lash Princess,beauty,9.99,10.48,2.56,99,1 week ,No 
2,Eyeshadow Palette with Mirror,beauty,19.99,18.19,2.86,34,1 year ,7 days 
3,Powder Canister,beauty,14.99,9.84,4.64,89,3 months ,No 
4,Red Lipstick,beauty,12.99,12.16,4.36,91,3 year ,7 days 
5,Red Nail Polish,beauty,8.99,11.44,4.32,79,1 month ,No 
6,Calvin Klein CK One,fragrances,49.99,1.89,4.37,29,1 week ,90 days 
7,Chanel Coco Noir Eau De,fragrances,129.99,16.51,4.26,58,3 year ,No 
8,Dior J'adore,fragrances,89.99,14.72,3.8,98,1 week ,7 days 
9,Dolce Shine Eau de,fragrances,69.99,0.62,3.96,4,3 year ,7 days 
10,Gucci Bloom Eau de,fragrances,79.99,14.39,2.74,91,6 months ,No 
11,Annibale Colombo Bed,furniture,1899.99,8.57,4.77,88,1 year ,No 
12,Annibale Colombo Sofa,furniture,2499.99,14.4,3.92,60,Lifetime ,7 days 
13,Bedside Table African Cherry,furniture,299.99,19.09,2.87,64,5 year ,7 days 
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,2.01,4.88,26,2 year ,60 days 
15,Wooden Bathroom Sink With Mirror,furniture,799.99,8.8,3.59,7,3 year ,60 days 
16,Apple,groceries,1.99,12.62,4.19,8,3 year ,90 days 
17,Beef Steak,groceries,12.99,9.61,4.47,86,3 year ,60 days 
18,Cat Food,groceries,8.99,9.58,3.13,46,1 year ,No 
19,Chicken Meat,groceries,9.99,13.7,3.19,97,1 year ,7 days 
20,Cooking Oil,groceries,4.99,9.33,4.8,10,Lifetime ,30 days 
21,Cucumber,groceries,1.49,0.16,4.07,84,2 year ,7 days 
22,Dog Food,groceries,10.99,10.27,4.55,71,No ,60 days 
23,Eggs,groceries,2.99,11.05,2.53,9,1 week ,No 
24,Fish Steak,groceries,14.99,4.23,3.78,74,1 month ,60 days 
25,Green Bell Pepper,groceries,1.29,0.16,3.25,33,1 month ,30 days 
26,Green Chili Pepper,groceries,0.99,1.0,3.66,3,2 year ,30 days 
27,Honey Jar,groceries,6.99,14.4,3.97,34,1 month ,90 days 
28,Ice Cream,groceries,5.49,8.69,3.39,27,1 month ,No 
29,Juice,groceries,3.99,12.06,3.94,50,6 months ,No 
